SA114 -30.90249 136.32757
SA115 -29.97329 136.45046
SA116 -31.99802 136.46278
SA117 -29.45958 136.48241
SA118 -29.00479 136.47299
SA119 -30.49507 136.50457
SA120 -32.38321 136.60483
SA121 -29.46922 137.02227
SA122 -29.06141 137.0111
SA123 -31.97299 137.03888
SA124 -29.13789 137.42322
SA136 -32.99671 135.01061
SA137 -32.978433 136.9888
SA138 -32.53405 134.97466
SA160 -33.49759 137.99701
SA162 -34.50768 137.6985
SA163 -33.489987 135.001303
SA164 -33.512622 135.482968
SA165 -33.50639 136.01302
SA166 -33.5021 136.484333
SA167 -33.487933 137.000383
SA168 -33.98922 135.50975
SA170 -33.986667 136.4943
SA171 -34.51011 135.511208
SA172 -34.489452 135.977283
SA173 -32.999805 135.483245
SA174 -32.99807 136.00117
SA175 -32.9987 136.485133
SA176 -28.49896 129.03569
SA177 -29.04745 129.00669
SA178_2 -29.58107 129.00716
SA179 -30.00304 128.96995
SA180 -30.473 129.01227
SA181 -30.9943 129.01777
SA182 -31.49044 129.00212
SA183 -29.01308 131.50194
SA184 -28.52482 132.99195
SA201 -32.85968 137.94295
SA203 -33.10849 137.37703
SA204 -32.43088 137.29904
SA205 -28.994881 140.995261
SA206 -28.98029 140.50457
SA207 -28.990831 140.0146
SA208_2 -28.9982 139.499561
SA209 -28.999389 138.985581
SA210 -29.01191 138.46286
SA211 -28.997469 138.001269
SA213 -28.490561 140.997361
SA214 -28.495919 140.499711
SA215 -28.506081 139.999619
SA216 -28.493761 139.502031
SA217 -28.500161 139.01175
SA218 -28.49785 138.50374
SA219_2 -28.517369 138.000961
SA220 -28.431483 136.96775
SA221 -28.497567 136.500717
SA222 -28.46585 135.972783
SA223 -28.500133 135.495867
SA224 -28.519931 134.95765
SA225_2 -28.50111 134.47621
SA226 -28.521031 134.031931
SA228 -27.998069 140.995911
SA229 -28.00043 140.57918
SA230 -28.004861 139.960711
SA231 -28.001069 139.492319
SA232 -27.995161 139.014419
SA233 -27.9618 138.594689
SA234 -27.9952 138.00585
SA235 -28.0048 137.542719
SA236 -27.84305 137.007711
SA237 -28.025131 136.491289
SA238 -27.991417 136.014339
SA239 -28.000119 135.503639
SA240_2 -28.018231 135.012269
SA241 -27.98182 134.4955
SA253 -27.495119 140.995681
SA254 -27.478439 140.515339
SA255 -27.507989 139.976361
SA256 -27.499911 139.503261
SA257 -27.493761 138.995581
SA258 -27.499439 138.463269
SA259 -27.504381 138.006261
SA260 -27.49402 137.50292
SA261 -27.499719 136.998789
SA262 -27.500311 136.510689
SA263 -27.492583 136.011717
SA264 -27.495389 135.482169
SA26W2 -28.49435 129.33328
SA274_2 -27.55531 130.5507
SA278 -27.001411 140.977061
SA279 -26.990681 140.508981
SA280 -26.991089 140.02755
SA281 -26.9477 139.513519
SA282 -26.999911 139.001
SA283 -27.055219 138.537989
SA284 -27.0022 138.004861
SA285 -26.99839 137.52315
SA286 -27.0008 136.997489
SA288 -26.999289 136.004511
SA289 -27.0007 135.4991
SA295 -26.99104 132.50675
SA303 -26.513469 140.997081
SA304 -26.522489 140.429469
SA305 -26.505789 139.997439
SA306 -26.4879 139.566319
SA307 -26.497431 138.9968
SA308 -26.50455 138.506411
SA309 -26.49765 138.000089
SA310 -26.48815 137.52248
SA311 -26.492711 137.005139
SA312 -26.504411 136.501231
SA313 -26.503539 136.006269
SA315 -26.5011 135.013989
SA316 -26.500183 134.500617
SA317 -26.39545 134.004
SA326N -26.21286 129.46975
SA326S -26.65605 129.3795
SA328 -26.009211 140.992331
SA329_2A -26.006461 140.471539
SA330 -26.00309 140.00236
SA331 -25.997839 139.508669
SA332 -25.985569 139.00105
SA333 -25.99806 138.49929
SA334 -26.0096 138.01765
SA335 -26.009581 137.5072
SA337 -26.000139 136.4988
SA338 -25.999039 136.009061
SA339 -26.007939 135.484819
SA340_2 -26.00031 134.99177
SA341 -26.00045 134.503367
SA342 -25.999469 134.0445
SA354 -29.42625 140.529561
SA355_B -28.509 137.630481
SA400 -32.47029 133.99263
SA401 -32.50597 134.49237
SA402 -32.95817 134.499697
SAA227 -28.49864 133.49527
SAA242 -28.00196 134.05853
SAA243 -28.07727 133.49181
SAA246 -27.99918 132.00528
SAA247 -28.00371 131.50056
SAA248 -27.98589 131.02246
SAA249 -27.99097 130.50344
SAA250 -27.99912 129.99773
SAA251 -27.98608 129.48954
SAA252 -27.98988 128.99602
SAA270 -27.49595 132.50242
SAA271 -27.49414 132.00908
SAA272 -27.49826 131.50419
SAA273 -27.50842 130.96447
SAA275 -27.50302 129.99935
SAA276 -27.49977 129.49933
SAA277 -27.50034 129.01446
SAA293-2 -26.96486 133.46886
SAA294 -26.94769 133.00356
SAA296 -26.9974 131.96715
SAA297 -26.99651 131.50393
SAA298 -27.00153 131.0084
SAA299 -27.00333 130.42681
SAA300 -26.95145 129.92561
SAA301 -26.99755 129.49553
SAA319 -26.48261 132.97198
SAA320_2 -26.48817 132.57067
SAA321 -26.50651 132.00474
SAA322 -26.49466 131.51372
SAA323 -26.4986 130.99664
SAA324 -26.48152 130.50582
SAA325_2 -26.49634 130.00377
SAA344 -26.00827 132.97201
SAA345 -26.0035 132.52593
SAA346 -25.99881 132.03547
SAA347 -26.01797 131.4635
SAA348 -26.03533 131.04611
SAA349 -25.99483 130.49999
SAA350 -26.002 129.99927
SAA351 -26.03703 129.53928
WAS302 -26.99178 129.00175
WAS327 -26.50476 128.99105
WAS352 -26.000437 129.000227



